date,Total solar irradiance (W/m2),Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),OT
1/1/2019 22:30,0,0,0,0
1/1/2019 23:00,0,0,0,0
1/1/2019 23:30,0,0,0,0
1/2/2019 0:00,0,0,0,0
1/2/2019 0:30,0,0,0,0
1/2/2019 1:00,0,0,0,0
1/2/2019 1:30,0,0,0,0
1/2/2019 2:00,0,0,0,0
1/2/2019 2:30,0,0,0,0
1/2/2019 3:00,0,0,0,0
1/2/2019 3:30,0,0,0,0
1/2/2019 4:00,0,0,0,0
1/2/2019 4:30,0,0,0,0
1/2/2019 5:00,0,0,0,0
1/2/2019 5:30,0,0,0,0
1/2/2019 6:00,0,0,0,0
1/2/2019 6:30,0,0,0,0
1/2/2019 7:00,0,0,0,0
1/2/2019 7:30,0,0,0,0
1/2/2019 8:00,0,0,0,0
1/2/2019 8:30,48.933334,13.266666,16.133333,0.70533335
1/2/2019 9:00,286.93332,6.8,99.73333,4.699333
1/2/2019 9:30,478.46667,232.46666,134.73334,9.622
1/2/2019 10:00,604.2,425.2,144.53334,13.999333
1/2/2019 10:30,705.5333,807.6667,65.2,17.789333
1/2/2019 11:00,820.06665,875.26666,81.933334,20.876667
1/2/2019 11:30,926.13336,905.4667,94.6,23.322
1/2/2019 12:00,983.73334,906.6,102.333336,25.194666
1/2/2019 12:30,1029.7333,903.13336,107.333336,26.386
1/2/2019 13:00,1063.2,912.8,111.73333,27.212667
1/2/2019 13:30,1090,1022.13336,125.73333,27.498667
1/2/2019 14:00,1113.4,930.4,112.4,27.28
1/2/2019 14:30,1072.4667,931.4,108.26667,26.39
1/2/2019 15:00,994.06665,932.26666,101.666664,24.901333
1/2/2019 15:30,909.6,933.2,92.666664,23.074667
1/2/2019 16:00,812.2,895.73334,78.53333,20.493334
1/2/2019 16:30,706.73334,808.73334,59.666668,17.174667
1/2/2019 17:00,603.73334,12.866667,271.4,13.610666
1/2/2019 17:30,454.46667,1.6,163.06667,9.135333
1/2/2019 18:00,244.73334,0,74.2,4.5026665
1/2/2019 18:30,22,0,3.1333334,0.34466666
1/2/2019 19:00,0,0,0,0
1/2/2019 19:30,0,0,0,0
1/2/2019 20:00,0,0,0,0
1/2/2019 20:30,0,0,0,0
1/2/2019 21:00,0,0,0,0
1/2/2019 21:30,0,0,0,0
1/2/2019 22:00,0,0,0,0
1/2/2019 22:30,0,0,0,0
1/2/2019 23:00,0,0,0,0
1/2/2019 23:30,0,0,0,0
1/3/2019 0:00,0,0,0,0
1/3/2019 0:30,0,0,0,0
1/3/2019 1:00,0,0,0,0
1/3/2019 1:30,0,0,0,0
1/3/2019 2:00,0,0,0,0
1/3/2019 2:30,0,0,0,0
1/3/2019 3:00,0,0,0,0
1/3/2019 3:30,0,0,0,0
1/3/2019 4:00,0,0,0,0
1/3/2019 4:30,0,0,0,0
1/3/2019 5:00,0,0,0,0
1/3/2019 5:30,0,0,0,0
1/3/2019 6:00,0,0,0,0
1/3/2019 6:30,0,0,0,0
1/3/2019 7:00,0,0,0,0
1/3/2019 7:30,0,0,0,0
1/3/2019 8:00,0,0,0,0
1/3/2019 8:30,49.8,33,17.2,0.762
1/3/2019 9:00,292.86667,7.733333,100.86667,4.772
1/3/2019 9:30,489.2,227.33333,140.2,9.763333
1/3/2019 10:00,617.2,527.6667,113.26667,14.216
1/3/2019 10:30,716.06665,817.4,66,18.107334
1/3/2019 11:00,828.4667,885.93335,82.933334,21.115334
1/3/2019 11:30,939.4,920,96.26667,23.594667
1/3/2019 12:00,1003.2,924.73334,104.53333,25.492
1/3/2019 12:30,1046.6,916.6667,109.13333,26.736666
1/3/2019 13:00,1083.3,941.4,115.1,27.904
1/3/2019 13:30,1097.2,1026.7333,144.4,27.908
1/3/2019 14:00,1103.4,924.5333,112,27.338
1/3/2019 14:30,1084,941.8,109.6,26.459333
1/3/2019 15:00,891.6,808.6,107.73333,22.262667
1/3/2019 15:30,297.86667,140.66667,132,7.118
1/3/2019 16:00,637.8,702.26666,106.8,15.902667
1/3/2019 16:30,729.73334,896.06665,65.8,17.906666
1/3/2019 17:00,592.73334,65.8,257.33334,13.368
1/3/2019 17:30,428.93332,7.9333334,161.8,8.83
1/3/2019 18:00,247.2,6.6,81.4,4.6393332
1/3/2019 18:30,33.066666,0.6,9,0.51266664
1/3/2019 19:00,0,0,0,0
1/3/2019 19:30,0,0,0,0
1/3/2019 20:00,0,0,0,0
1/3/2019 20:30,0,0,0,0
1/3/2019 21:00,0,0,0,0
1/3/2019 21:30,0,0,0,0
1/3/2019 22:00,0,0,0,0
1/3/2019 22:30,0,0,0,0
1/3/2019 23:00,0,0,0,0
1/3/2019 23:30,0,0,0,0
1/4/2019 0:00,0,0,0,0
1/4/2019 0:30,0,0,0,0
1/4/2019 1:00,0,0,0,0
1/4/2019 1:30,0,0,0,0
1/4/2019 2:00,0,0,0,0
1/4/2019 2:30,0,0,0,0
1/4/2019 3:00,0,0,0,0
1/4/2019 3:30,0,0,0,0
1/4/2019 4:00,0,0,0,0
1/4/2019 4:30,0,0,0,0
1/4/2019 5:00,0,0,0,0
1/4/2019 5:30,0,0,0,0
1/4/2019 6:00,0,0,0,0
1/4/2019 6:30,0,0,0,0
1/4/2019 7:00,0,0,0,0
1/4/2019 7:30,0,0,0,0
1/4/2019 8:00,0,0,0,0
1/4/2019 8:30,47.4,24.2,13.866667,0.656
1/4/2019 9:00,318.73334,8.2,106.73333,5.116667
1/4/2019 9:30,510.6,226.66667,147.66667,10.15
1/4/2019 10:00,636.4667,639.6,81.86667,14.656667
1/4/2019 10:30,729.4667,836.6667,67.53333,18.49
1/4/2019 11:00,844.13336,905.73334,84.933334,21.709333
1/4/2019 11:30,949.6667,931.6667,97.4,24.167334
1/4/2019 12:00,1010.93335,935.13336,105.8,25.995333
1/4/2019 12:30,1066.2,934.5333,111.333336,27.36
1/4/2019 13:00,1078.9333,924.93335,113.13333,27.949333
1/4/2019 13:30,1078.7333,997.8,123.066666,27.571333
1/4/2019 14:00,1081,903.4,109.53333,27.155333
1/4/2019 14:30,1050.0667,909.86664,106.4,26.382
1/4/2019 15:00,971.93335,909.13336,99.73333,24.799334
1/4/2019 15:30,869.2,887.86664,88.933334,22.374
1/4/2019 16:00,718.2,796.5333,70.2,18.552
1/4/2019 16:30,642.2,748.13336,55.866665,15.8793335
1/4/2019 17:00,536.2,18.8,250.06667,12.246667
1/4/2019 17:30,388.06668,9,148.2,7.958
1/4/2019 18:00,231.33333,5.266667,76.8,4.259333
1/4/2019 18:30,32.266666,0.06666667,7.2,0.47
1/4/2019 19:00,0,0,0,0
1/4/2019 19:30,0,0,0,0
1/4/2019 20:00,0,0,0,0
1/4/2019 20:30,0,0,0,0
1/4/2019 21:00,0,0,0,0
1/4/2019 21:30,0,0,0,0
1/4/2019 22:00,0,0,0,0
1/4/2019 22:30,0,0,0,0
1/4/2019 23:00,0,0,0,0
1/4/2019 23:30,0,0,0,0
1/5/2019 0:00,0,0,0,0
1/5/2019 0:30,0,0,0,0
1/5/2019 1:00,0,0,0,0
1/5/2019 1:30,0,0,0,0
1/5/2019 2:00,0,0,0,0
1/5/2019 2:30,0,0,0,0
1/5/2019 3:00,0,0,0,0
1/5/2019 3:30,0,0,0,0
1/5/2019 4:00,0,0,0,0
1/5/2019 4:30,0,0,0,0
1/5/2019 5:00,0,0,0,0
1/5/2019 5:30,0,0,0,0
1/5/2019 6:00,0,0,0,0
1/5/2019 6:30,0,0,0,0
1/5/2019 7:00,0,0,0,0
1/5/2019 7:30,0,0,0,0
1/5/2019 8:00,0,0,0,0
1/5/2019 8:30,11.9,1.6,4.8,0.359
1/5/2019 9:00,342.2,5.4666667,111.8,5.4053335
1/5/2019 9:30,546.73334,230.73334,157.13333,10.636666
1/5/2019 10:00,670.4,758.8,49.933334,15.134666
1/5/2019 10:30,765.8,873,70.53333,18.897333
1/5/2019 11:00,885.13336,947.6667,89,21.983334
1/5/2019 11:30,985.26666,965,101,24.241333
1/5/2019 12:00,1053.8667,972.86664,110.26667,26.078667
1/5/2019 12:30,1094.2,957.86664,114.26667,27.196667
1/5/2019 13:00,1106.3334,948.6,116.46667,27.928
1/5/2019 13:30,1125.6,1040.9333,128.73334,27.876667
1/5/2019 14:00,1139.6,950.4,115.73333,27.636
1/5/2019 14:30,1116,965,113,27.031334
1/5/2019 15:00,1050.2,981.6,108.066666,25.705334
1/5/2019 15:30,936.4,952.6667,95.86667,23.197332
1/5/2019 16:00,831.06665,917.2,81.4,20.403334
1/5/2019 16:30,719.5333,819.3333,61.333332,17.268
1/5/2019 17:00,598.26666,151.93333,224.53334,13.138667
1/5/2019 17:30,427,6.2,159,8.208
1/5/2019 18:00,157.53334,2.5333333,52.8,2.6286666
1/5/2019 18:30,16,0,3,0.23333333
1/5/2019 19:00,0,0,0,0
1/5/2019 19:30,0,0,0,0
1/5/2019 20:00,0,0,0,0
1/5/2019 20:30,0,0,0,0
1/5/2019 21:00,0,0,0,0
1/5/2019 21:30,0,0,0,0
1/5/2019 22:00,0,0,0,0
1/5/2019 22:30,0,0,0,0
1/5/2019 23:00,0,0,0,0
1/5/2019 23:30,0,0,0,0
1/6/2019 0:00,0,0,0,0
1/6/2019 0:30,0,0,0,0
1/6/2019 1:00,0,0,0,0
1/6/2019 1:30,0,0,0,0
1/6/2019 2:00,0,0,0,0
1/6/2019 2:30,0,0,0,0
1/6/2019 3:00,0,0,0,0
1/6/2019 3:30,0,0,0,0
1/6/2019 4:00,0,0,0,0
1/6/2019 4:30,0,0,0,0
1/6/2019 5:00,0,0,0,0
1/6/2019 5:30,0,0,0,0
1/6/2019 6:00,0,0,0,0
1/6/2019 6:30,0,0,0,0
1/6/2019 7:00,0,0,0,0
1/6/2019 7:30,0,0,0,0
1/6/2019 8:00,0,0,0,0
1/6/2019 8:30,46.533333,37.533333,14.066667,0.6613333
1/6/2019 9:00,333.46667,7.3333335,110.4,5.352
1/6/2019 9:30,517,206.66667,155.06667,10.218667
1/6/2019 10:00,634.13336,632.73334,81.13333,14.4
1/6/2019 10:30,721.13336,827.4667,66.8,18.016666
1/6/2019 11:00,837.5333,900.6667,84.53333,21.168667
1/6/2019 11:30,945.3333,926.8,97.2,23.58
1/6/2019 12:00,1002.73334,928.5333,105.26667,25.27
1/6/2019 12:30,1048,919.73334,110,26.542
1/6/2019 13:00,1063.5333,912.06665,112.333336,27.085333
1/6/2019 13:30,1080.2,993.4667,123,27.104666
1/6/2019 14:00,1090.2667,910.4667,111.13333,26.758
1/6/2019 14:30,1061.1333,918.06665,107.86667,25.842667
1/6/2019 15:00,982.06665,917.5333,101.26667,24.400667
1/6/2019 15:30,883,900.2,90.933334,22.154667
1/6/2019 16:00,749.73334,833.2,74.333336,18.783333
1/6/2019 16:30,664.93335,776.6667,58.533333,16.012667
1/6/2019 17:00,493.06668,26.666666,238.33333,10.975333
1/6/2019 17:30,304.53333,26,126.53333,6.0993333
1/6/2019 18:00,151.6,9.866667,57.133335,2.8286667
1/6/2019 18:30,17.533333,0,3.5333333,0.276
1/6/2019 19:00,0,0,0,0
1/6/2019 19:30,0,0,0,0
1/6/2019 20:00,0,0,0,0
1/6/2019 20:30,0,0,0,0
1/6/2019 21:00,0,0,0,0
1/6/2019 21:30,0,0,0,0
1/6/2019 22:00,0,0,0,0
1/6/2019 22:30,0,0,0,0
1/6/2019 23:00,0,0,0,0
1/6/2019 23:30,0,0,0,0
1/7/2019 0:00,0,0,0,0
1/7/2019 0:30,0,0,0,0
1/7/2019 1:00,0,0,0,0
1/7/2019 1:30,0,0,0,0
1/7/2019 2:00,0,0,0,0
1/7/2019 2:30,0,0,0,0
1/7/2019 3:00,0,0,0,0
1/7/2019 3:30,0,0,0,0
1/7/2019 4:00,0,0,0,0
1/7/2019 4:30,0,0,0,0
1/7/2019 5:00,0,0,0,0
1/7/2019 5:30,0,0,0,0
1/7/2019 6:00,0,0,0,0
1/7/2019 6:30,0,0,0,0
1/7/2019 7:00,0,0,0,0
1/7/2019 7:30,0,0,0,0
1/7/2019 8:00,0,0,0,0
1/7/2019 8:30,43.666668,26.866667,13.6,0.6586667
1/7/2019 9:00,325.4,5.6,109.066666,5.168
1/7/2019 9:30,520.8,204.86667,157.06667,10.157333
1/7/2019 10:00,639.73334,685.5333,65.066666,14.425333
1/7/2019 10:30,725.3333,831.86664,67.26667,18.007334
1/7/2019 11:00,835.13336,899.3333,84.53333,21.000668
1/7/2019 11:30,947.2,931.8,97.86667,23.435333
1/7/2019 12:00,1008.4,933,106.2,25.159334
1/7/2019 12:30,1053.8667,923.5333,110.6,26.418
1/7/2019 13:00,1074.4667,920.73334,113.6,27.18
1/7/2019 13:30,1096.8667,1005.93335,124.86667,27.104
1/7/2019 14:00,1083.5333,902.3333,110.333336,26.422667
1/7/2019 14:30,1049.8667,905.13336,106.53333,25.6
1/7/2019 15:00,1008.6,932.86664,103.333336,24.750668
1/7/2019 15:30,926.26666,936.13336,94.4,22.82
1/7/2019 16:00,789.5333,872,76.8,19.532667
1/7/2019 16:30,685.93335,796.6,60.4,16.257334
1/7/2019 17:00,524.93335,22.2,252.6,11.608666
1/7/2019 17:30,336.8,20.266666,136,6.800667
1/7/2019 18:00,176.6,1.9333333,62.666668,3.2146666
1/7/2019 18:30,21.2,0,4.6666665,0.30066666
1/7/2019 19:00,0,0,0,0
1/7/2019 19:30,0,0,0,0
1/7/2019 20:00,0,0,0,0
1/7/2019 20:30,0,0,0,0
1/7/2019 21:00,0,0,0,0
1/7/2019 21:30,0,0,0,0
1/7/2019 22:00,0,0,0,0
1/7/2019 22:30,0,0,0,0
1/7/2019 23:00,0,0,0,0
1/7/2019 23:30,0,0,0,0
1/8/2019 0:00,0,0,0,0
1/8/2019 0:30,0,0,0,0
1/8/2019 1:00,0,0,0,0
1/8/2019 1:30,0,0,0,0
1/8/2019 2:00,0,0,0,0
1/8/2019 2:30,0,0,0,0
1/8/2019 3:00,0,0,0,0
1/8/2019 3:30,0,0,0,0
1/8/2019 4:00,0,0,0,0
1/8/2019 4:30,0,0,0,0
1/8/2019 5:00,0,0,0,0
1/8/2019 5:30,0,0,0,0
1/8/2019 6:00,0,0,0,0
1/8/2019 6:30,0,0,0,0
1/8/2019 7:00,0,0,0,0
1/8/2019 7:30,0,0,0,0
1/8/2019 8:00,0,0,0,0
1/8/2019 8:30,0,0,0,0
1/8/2019 9:00,23.066668,5.6,18.733334,0.794
1/8/2019 9:30,28.733334,6.6666665,23.2,0.9626667
1/8/2019 10:00,44.666668,14.733334,36.666668,1.52
1/8/2019 10:30,94.26667,46.2,84.53333,3.2586668
1/8/2019 11:00,115.2,49.6,99.53333,3.9126666
1/8/2019 11:30,110.46667,43.4,95.666664,3.79
1/8/2019 12:00,144.4,52.666668,122.8,4.944667
1/8/2019 12:30,152.73334,52.066666,129.66667,5.178
1/8/2019 13:00,177,58.866665,152.06667,6.075333
1/8/2019 13:30,207.6,66.666664,177.93333,7.032
1/8/2019 14:00,216.4,70.73333,186.6,7.2113333
1/8/2019 14:30,154.86667,48,125.26667,5.044
1/8/2019 15:00,113.26667,38,94.26667,3.9986668
1/8/2019 15:30,97.46667,33.133335,73,3.2173333
1/8/2019 16:00,89.933334,41.733334,71.8,2.904
1/8/2019 16:30,81.6,40.733334,63.6,2.828
1/8/2019 17:00,50.933334,24.733334,39.266666,1.7026666
1/8/2019 17:30,30.333334,6.6,22.2,1.032
1/8/2019 18:00,17.266666,4.6666665,12.133333,0.524
1/8/2019 18:30,0.6,0.26666668,0,0
1/8/2019 19:00,0,0,0,0
1/8/2019 19:30,0,0,0,0
1/8/2019 20:00,0,0,0,0
1/8/2019 20:30,0,0,0,0
1/8/2019 21:00,0,0,0,0
1/8/2019 21:30,0,0,0,0
1/8/2019 22:00,0,0,0,0
1/8/2019 22:30,0,0,0,0
1/8/2019 23:00,0,0,0,0
1/8/2019 23:30,0,0,0,0
1/9/2019 0:00,0,0,0,0
1/9/2019 0:30,0,0,0,0
1/9/2019 1:00,0,0,0,0
1/9/2019 1:30,0,0,0,0
1/9/2019 2:00,0,0,0,0
1/9/2019 2:30,0,0,0,0
1/9/2019 3:00,0,0,0,0
1/9/2019 3:30,0,0,0,0
1/9/2019 4:00,0,0,0,0
1/9/2019 4:30,0,0,0,0
1/9/2019 5:00,0,0,0,0
1/9/2019 5:30,0,0,0,0
1/9/2019 6:00,0,0,0,0
1/9/2019 6:30,0,0,0,0
1/9/2019 7:00,0,0,0,0
1/9/2019 7:30,0,0,0,0
1/9/2019 8:00,0,0,0,0
1/9/2019 8:30,20.866667,2.6,10.133333,0.438
1/9/2019 9:00,336.4,7.866667,112.666664,5.398
1/9/2019 9:30,481.86667,190.93333,144.2,10.073334
1/9/2019 10:00,645.6,643.6667,81.933334,14.707334
1/9/2019 10:30,732.4667,844,68.26667,18.69
1/9/2019 11:00,842.4,912.4,85.8,21.931334
1/9/2019 11:30,955.3333,939,98.933334,24.517334
1/9/2019 12:00,1044.8,968.2,109.2,25.507334
1/9/2019 12:30,977.3333,809.13336,119.46667,23.180666
1/9/2019 13:00,1072.8667,928.93335,129.86667,27.100666
1/9/2019 13:30,962.26666,803.2,162.86667,26.05
1/9/2019 14:00,1128.0667,947.26666,125.53333,26.424667
1/9/2019 14:30,1101.2667,936.2,111,27.224
1/9/2019 15:00,1022.13336,944.06665,105.26667,25.843334
1/9/2019 15:30,939.8,950.6,97.13333,24.181334
1/9/2019 16:00,846,928.5333,84,21.794
1/9/2019 16:30,724.3333,842.13336,64.6,17.686
1/9/2019 17:00,234.4,178.26666,76.666664,6.402
1/9/2019 17:30,416.73334,27.533333,165.86667,8.588667
1/9/2019 18:00,162.06667,1.4666667,60.666668,3.3613334
1/9/2019 18:30,53.333332,0.33333334,14.466666,0.822
1/9/2019 19:00,0,0,0,0
1/9/2019 19:30,0,0,0,0
1/9/2019 20:00,0,0,0,0
1/9/2019 20:30,0,0,0,0
1/9/2019 21:00,0,0,0,0
1/9/2019 21:30,0,0,0,0
1/9/2019 22:00,0,0,0,0
1/9/2019 22:30,0,0,0,0
1/9/2019 23:00,0,0,0,0
1/9/2019 23:30,0,0,0,0
1/10/2019 0:00,0,0,0,0
1/10/2019 0:30,0,0,0,0
1/10/2019 1:00,0,0,0,0
1/10/2019 1:30,0,0,0,0
1/10/2019 2:00,0,0,0,0
1/10/2019 2:30,0,0,0,0
1/10/2019 3:00,0,0,0,0
1/10/2019 3:30,0,0,0,0
1/10/2019 4:00,0,0,0,0
1/10/2019 4:30,0,0,0,0
1/10/2019 5:00,0,0,0,0
1/10/2019 5:30,0,0,0,0
1/10/2019 6:00,0,0,0,0
1/10/2019 6:30,0,0,0,0
1/10/2019 7:00,0,0,0,0
1/10/2019 7:30,0,0,0,0
1/10/2019 8:00,0,0,0,0
1/10/2019 8:30,37.333332,24.866667,12.133333,0.63
1/10/2019 9:00,315.8,8.8,106.13333,5.188
1/10/2019 9:30,511.26666,180.8,159.66667,10.281333
1/10/2019 10:00,275.73334,170.93333,81.933334,6.6806664
1/10/2019 10:30,636.73334,675.6,66.8,17.000668
1/10/2019 11:00,834.3333,904,85.26667,21.656
1/10/2019 11:30,945.73334,932.6,98.333336,24.046
1/10/2019 12:00,1006.6667,927.4667,105.86667,25.831333
1/10/2019 12:30,1058.9333,923.4,111.26667,27.112
1/10/2019 13:00,936.6667,754.73334,134.2,26.294666
1/10/2019 13:30,1145.6,1068.9333,133.66667,29.125334
1/10/2019 14:00,852.5333,699.3333,126.666664,20.769333
1/10/2019 14:30,1080.0667,924.2,109.933334,27.118
1/10/2019 15:00,932.5333,870.6667,109.8,22.486666
1/10/2019 15:30,763.5333,779.3333,127.6,18.484667
1/10/2019 16:00,804.73334,926.86664,86.13333,19.425333
1/10/2019 16:30,264,120.6,158.8,9.030666
1/10/2019 17:00,389.73334,324.93332,123,9.606667
1/10/2019 17:30,417.73334,80.2,180.53334,9.092667
1/10/2019 18:00,255.06667,32.4,102.2,5.026
1/10/2019 18:30,28.733334,3.0666666,12.866667,0.62866664
1/10/2019 19:00,0,0,0,0
1/10/2019 19:30,0,0,0,0
1/10/2019 20:00,0,0,0,0
1/10/2019 20:30,0,0,0,0
1/10/2019 21:00,0,0,0,0
1/10/2019 21:30,0,0,0,0
1/10/2019 22:00,0,0,0,0
1/10/2019 22:30,0,0,0,0
1/10/2019 23:00,0,0,0,0
1/10/2019 23:30,0,0,0,0
1/11/2019 0:00,0,0,0,0
1/11/2019 0:30,0,0,0,0
1/11/2019 1:00,0,0,0,0
1/11/2019 1:30,0,0,0,0
1/11/2019 2:00,0,0,0,0
1/11/2019 2:30,0,0,0,0
1/11/2019 3:00,0,0,0,0
1/11/2019 3:30,0,0,0,0
1/11/2019 4:00,0,0,0,0
1/11/2019 4:30,0,0,0,0
1/11/2019 5:00,0,0,0,0
1/11/2019 5:30,0,0,0,0
1/11/2019 6:00,0,0,0,0
1/11/2019 6:30,0,0,0,0
1/11/2019 7:00,0,0,0,0
1/11/2019 7:30,0,0,0,0
1/11/2019 8:00,0,0,0,0
1/11/2019 8:30,36.666668,14.4,11.533334,0.662
1/11/2019 9:00,310.06668,6.9333334,105.6,5.1666665
1/11/2019 9:30,513,173.6,162.33333,10.323334
1/11/2019 10:00,641,592.8,98.066666,14.78
1/11/2019 10:30,729.3333,840.3333,68.2,18.47
1/11/2019 11:00,844.13336,912.4667,86.2,21.627333
1/11/2019 11:30,951.3333,933.6,98.666664,24.044
1/11/2019 12:00,1018.93335,939.86664,107.666664,25.886
1/11/2019 12:30,1065.0667,927.8,112,27.066668
1/11/2019 13:00,1074.9333,916.2,113.8,27.656
1/11/2019 13:30,1101.3334,998.86664,125.46667,27.850666
1/11/2019 14:00,1088.2,901.5333,111.46667,27.190666
1/11/2019 14:30,1063,906.5333,108.2,26.455334
1/11/2019 15:00,990.2,912.2,102.666664,25.036667
1/11/2019 15:30,907.86664,913.86664,94.13333,23.162666
1/11/2019 16:00,805.4,886.13336,81.066666,20.639334
1/11/2019 16:30,662.3333,778.4,60.533333,16.415333
1/11/2019 17:00,508.46667,32.466667,252.13333,11.948
1/11/2019 17:30,400.6,32.6,159.4,8.485333
1/11/2019 18:00,239.26666,0,82.4,4.5526667
1/11/2019 18:30,45.133335,0,8.866667,0.7086667
1/11/2019 19:00,0,0,0,0
1/11/2019 19:30,0,0,0,0
1/11/2019 20:00,0,0,0,0
1/11/2019 20:30,0,0,0,0
1/11/2019 21:00,0,0,0,0
1/11/2019 21:30,0,0,0,0
1/11/2019 22:00,0,0,0,0
1/11/2019 22:30,0,0,0,0
1/11/2019 23:00,0,0,0,0
1/11/2019 23:30,0,0,0,0
1/12/2019 0:00,0,0,0,0
1/12/2019 0:30,0,0,0,0
1/12/2019 1:00,0,0,0,0
1/12/2019 1:30,0,0,0,0
1/12/2019 2:00,0,0,0,0
1/12/2019 2:30,0,0,0,0
1/12/2019 3:00,0,0,0,0
1/12/2019 3:30,0,0,0,0
1/12/2019 4:00,0,0,0,0
1/12/2019 4:30,0,0,0,0
1/12/2019 5:00,0,0,0,0
1/12/2019 5:30,0,0,0,0
1/12/2019 6:00,0,0,0,0
1/12/2019 6:30,0,0,0,0
1/12/2019 7:00,0,0,0,0
1/12/2019 7:30,0,0,0,0
1/12/2019 8:00,0,0,0,0
1/12/2019 8:30,36.466667,24.933332,11.866667,0.6393333
1/12/2019 9:00,319.2,7.866667,108.8,5.236
1/12/2019 9:30,516.5333,176.26666,164.6,10.351334
1/12/2019 10:00,643.3333,596.93335,99,14.809334
1/12/2019 10:30,734.4,847.73334,69,18.594
1/12/2019 11:00,850.2,922,87.333336,21.824667
1/12/2019 11:30,965.4667,947.8,100.4,24.396667
1/12/2019 12:00,1029,949.26666,108.933334,26.402
1/12/2019 12:30,1081.5333,941.4667,114.066666,27.760666
1/12/2019 13:00,1089.7333,928.26666,115.86667,28.184
1/12/2019 13:30,1095.5333,990.06665,124.6,27.932667
1/12/2019 14:00,1100.5333,910.06665,113.066666,27.497334
1/12/2019 14:30,1058.2,901.73334,107.933334,26.477333
1/12/2019 15:00,992.73334,914.2,103.13333,25.316668
1/12/2019 15:30,907.5333,914.26666,94.86667,23.292
1/12/2019 16:00,807.4,885.8,81.6,20.742
1/12/2019 16:30,707.4667,821.26666,64.2,17.556
1/12/2019 17:00,582.3333,165,231.33333,13.539333
1/12/2019 17:30,433.06668,32.066666,170.26666,9.158667
1/12/2019 18:00,260.46667,0,88.933334,4.9313335
1/12/2019 18:30,65.26667,0.13333334,15.666667,1.018
1/12/2019 19:00,0,0,0,0
1/12/2019 19:30,0,0,0,0
1/12/2019 20:00,0,0,0,0
1/12/2019 20:30,0,0,0,0
1/12/2019 21:00,0,0,0,0
1/12/2019 21:30,0,0,0,0
1/12/2019 22:00,0,0,0,0
1/12/2019 22:30,0,0,0,0
1/12/2019 23:00,0,0,0,0
1/12/2019 23:30,0,0,0,0
1/13/2019 0:00,0,0,0,0
1/13/2019 0:30,0,0,0,0
1/13/2019 1:00,0,0,0,0
1/13/2019 1:30,0,0,0,0
1/13/2019 2:00,0,0,0,0
1/13/2019 2:30,0,0,0,0
1/13/2019 3:00,0,0,0,0
1/13/2019 3:30,0,0,0,0
1/13/2019 4:00,0,0,0,0
1/13/2019 4:30,0,0,0,0
1/13/2019 5:00,0,0,0,0
1/13/2019 5:30,0,0,0,0
1/13/2019 6:00,0,0,0,0
1/13/2019 6:30,0,0,0,0
1/13/2019 7:00,0,0,0,0
1/13/2019 7:30,0,0,0,0
1/13/2019 8:00,0,0,0,0
